City,State,Airport Code,Passengers
Atlanta,GA,ATL,50881764
Los Angeles,CA,LAX,40178194
Chicago,IL,ORD,37754813
Dallas/Fort Worth,TX,DFW,31442158
New York,NY,JFK,29335915
Denver,CO,DEN,28642444
San Francisco,CA,SFO,25868423
Las Vegas,NV,LAS,23051083
Seattle,WA,SEA,21977739
Charlotte,NC,CLT,21790063
Phoenix,AZ,PHX,21388856
Miami,FL,MIA,20917084
Orlando,FL,MCO,20406714
Houston,TX,IAH,20161779
Newark,NJ,EWR,19975525
Minneapolis,MN,MSP,18248360
Boston,MA,BOS,17810721
Detroit,MI,DTW,16926948
New York,NY,LGA,14777137
Philadelphia,PA,PHL,14644264
Fort Lauderdale,FL,FLL,14364191
Baltimore,MD,BWI,12619720
Washington,DC,DCA,11498474
Chicago,IL,MDW,11305840
Salt Lake City,UT,SLC,11186985
Washington,DC,IAD,10640267
San Diego,CA,SAN,10512833
Honolulu,HI,HNL,9732859
Tampa,FL,TPA,9320099
Portland,OR,PDX,9109172
Dallas,TX,DAL,7882413
St. Louis,MO,STL,7009639
Nashville,TN,BNA,6540789
Houston,TX,HOU,6511142
Austin,TX,AUS,6238942
Oakland,CA,OAK,6094732
New Orleans,LA,MSY,5691532
Kansas City,MO,MCI,5545500
Raleigh/Durham,NC,RDU,5454245
San Jose,CA,SJC,5406284
Santa Ana,CA,SNA,5275888
Sacramento,CA,SMF,5062654
San Juan,PR,SJU,4395635
Indianapolis,IN,IND,4287756
Fort Myers,FL,RSW,4277214
San Antonio,TX,SAT,4275296
Cleveland,OH,CLE,4120014
Pittsburgh,PA,PIT,4030996
Columbus,OH,CMH,3620419
Milwaukee,WI,MKE,3401595
Kahului,HI,OGG,3347342
Cincinnati,OH,CVG,3288669
West Palm Beach,FL,PBI,3119984
Hartford,CT,BDL,2996861
Jacksonville,FL,JAX,2750431
Anchorage,AK,ANC,2555353
Albuquerque,NM,ABQ,2405823
Buffalo,NY,BUF,2324599
Omaha,NE,OMA,2153136
Burbank,CA,BUR,2151151
Ontario,CA,ONT,2138787
Memphis,TN,MEM,2039350
Oklahoma City,OK,OKC,1850871
Charleston,SC,CHS,1826822
Providence,RI,PVD,1807292
Richmond,VA,RIC,1796843
Reno,NV,RNO,1781791
Boise,ID,BOI,1674319
Guam,TT,GUM,1658382
Louisville,KY,SDF,1653222
Norfolk,VA,ORF,1618175
Tucson,AZ,TUS,1617290
Spokane,WA,GEG,1576550
Kona,HI,KOA,1570084
El Paso,TX,ELP,1446332
Lihue,HI,LIH,1428153
Albany,NY,ALB,1396391
Long Beach,CA,LGB,1388975
Tulsa,OK,TUL,1371176
Birmingham,AL,BHM,1347473
Grand Rapids,MI,GRR,1343965
Sanford,FL,SFB,1336313
Des Moines,IA,DSM,1224835
Rochester,NY,ROC,1188636
Savannah,GA,SAV,1065248
Dayton,OH,DAY,1022603
Greer,SC,GSP,1006965
Palm Springs,CA,PSP,1005467
Manchester,NH,MHT,"997,120"
Syracuse,NY,SYR,"992,151"
Myrtle Beach,SC,MYR,"979,033"
Little Rock,AR,LIT,"974,126"
St. Petersburg,FL,PIE,"919,439"
Madison,WI,MSN,"909,529"
Knoxville,TN,TYS,"895,014"
Portland,ME,PWM,"887,125"
Greensboro/High Point,NC,GSO,"855,022"
Pensacola,FL,PNS,"800,921"
Wichita,KS,ICT,"796,691"
White Plains,NY,HPN</p>,"764,324"
,,,
