New York,New York,234
Los Angeles,California,198
Chicago,Illinois,188
Houston,Texas,148
Phoenix,Arizona,152
Philadelphia,Pennsylvania,174
San Antonio,Texas,137
San Diego,California,181
Dallas,Texas,156
San Jose,California,199
Austin,Texas,151
Jacksonville,Florida,134
Fort Worth,Texas,155
San Francisco,California,240
Columbus,Ohio,143
Charlotte,North Carolina,150
Indianapolis,Indiana,136
Seattle,Washington,196
Denver,Colorado,179
Washington DC,District of Columbia,213
El Paso,Texas,137
Boston,Massachusetts,196
Nashville,Tennessee,162
Detroit,Michigan,130
Portland,Oregon,174
Oklahoma City,Oklahoma,140
Las Vegas,Nevada,152
Memphis,Tennessee,141
Louisville,Kentucky,137
Baltimore,Maryland,161
Milwaukee,Wisconsin,151
Albuquerque,New Mexico,126
Tucson,Arizona,129
Fresno,California,150
Sacramento,California,175
Mesa,Arizona,150
Kansas City,Missouri,144
Atlanta,Georgia,160
Colorado Springs,Colorado,150
Miami,Florida,184
Raleigh,North Carolina,150
Long Beach,California,155
Virginia Beach,Virginia,151
Omaha,Nebraska,132
Oakland,California,200
Minneapolis,Minnesota,168
Tulsa,Oklahoma,138
Arlington,Texas,142
New Orleans,Louisiana,153
Tampa,Florida,142
Wichita,Kansas,143
Bakersfield,California,144
Cleveland,Ohio,150
Aurora,Colorado,140
Anaheim,California,142
Honolulu,Hawaii,195
Santa Ana,California,168
Riverside,California,158
Corpus Christi,Texas,150
Lexington-Fayette,Kentucky,121
Stockton,California,146
Henderson,Nevada,150
St. Paul,Minnesota,168
St. Louis,Missouri,144
Pittsburgh,Pennsylvania,157
Cincinnati,Ohio,142
Anchorage,Alaska,173
Plano,Texas,151
Orlando,Florida,152
Greensboro,North Carolina,124
Lincoln,Nebraska,141
Irvine,California,164
Newark,New Jersey,161
Toledo,Ohio,138
Durham,North Carolina,147
Chula Vista,California,153
St. Petersburg,Florida,157
Fort Wayne,Indiana,121
Jersey City,New Jersey,193
Laredo,Texas,140
Madison,Wisconsin,151
Scottsdale,Arizona,154
Lubbock,Texas,142
Chandler,Arizona,158
Reno,Nevada,151
Buffalo,New York,140
Glendale,Arizona,140
Gilbert,Arizona,149
Winston-Salem,North Carolina,138
Norfolk,Virginia,148
Chesapeake,Virginia,140
Irving,Texas,142
Fremont,California,170
Hialeah,Florida,162
Garland,Texas,153
Richmond,Virginia,143
Boise City,Idaho,126
Baton Rouge,Louisiana,153
Spokane,Washington,130
North Las Vegas,Nevada,152
